evaluator,kind,rho_Musicality,mae_Musicality,mean_Musicality,rho_Coherence,mae_Coherence,mean_Coherence,rho_Memorability,mae_Memorability,mean_Memorability,rho_Clarity,mae_Clarity,mean_Clarity,rho_Naturalness,mae_Naturalness,mean_Naturalness
SongEval,songeval,0.139,2.249,3.558,0.104,2.231,3.779,0.113,1.928,3.621,0.031,2.028,3.533,0.122,2.018,3.45
Humans,human,1.0,0.0,5.16,1.0,0.0,5.349,1.0,0.0,3.821,1.0,0.0,4.773,1.0,0.0,4.666
Audiobox-Aesthetics,audiobox,0.157,2.414,7.209,0.091,2.78,7.898,0.007,3.876,7.591,0.132,2.166,6.345,,,
Our Music-Aesthetics,our_music_aesthetics,0.088,2.235,6.019,0.073,2.261,6.417,0.075,3.038,6.172,0.029,2.271,5.781,0.099,2.215,5.731
Gemini 3.1 Flash Lite (non-thinking),model,0.113,2.234,3.772,0.033,2.156,4.475,0.079,2.146,2.694,0.021,2.231,3.303,0.108,2.412,2.792
Gemini 3.1 Flash Lite (thinking),model,0.111,2.14,4.334,0.068,2.174,5.107,0.097,2.244,3.636,0.012,2.198,3.745,0.09,2.428,3.141
Gemini 3.1 Pro (non-thinking),model,0.141,1.924,4.78,0.099,2.054,4.667,0.099,2.037,3.372,0.066,1.928,4.293,0.123,1.958,4.101
Gemini 3.1 Pro (thinking),model,0.125,1.952,4.7,0.051,2.248,4.22,0.073,2.113,3.16,0.083,1.97,4.188,0.051,2.012,3.973
Gemma 4 E2B IT (non-thinking),model,0.01,1.978,6.335,-0.003,2.314,7.025,0.011,2.302,4.996,-0.083,1.809,5.436,0.03,2.135,6.032
Gemma 4 E2B IT (thinking),model,0.073,2.657,7.426,0.028,2.769,7.688,0.035,3.771,7.345,0.046,2.114,6.145,0.06,3.25,7.657
Gemma 4 E4B IT (non-thinking),model,0.012,2.247,6.737,-0.04,2.345,6.986,0.069,3.042,6.44,0.002,2.072,6.053,0.056,2.165,6.075
Gemma 4 E4B IT (thinking),model,0.054,2.501,7.188,0.024,2.864,7.875,0.04,3.877,7.477,0.132,2.071,6.186,0.106,2.841,7.202
MOSS Audio 4B (non-thinking),model,0.006,2.706,7.244,0.027,3.049,7.846,0.017,3.943,7.316,0.033,3.231,7.504,-0.024,3.362,7.496
MOSS Audio 4B (thinking),model,0.081,2.93,7.829,0.053,3.129,8.225,-0.001,4.386,8.009,0.027,2.676,7.081,0.01,3.623,8.095
MOSS Audio 8B (non-thinking),model,-0.011,2.745,7.372,-0.071,2.612,7.076,0.012,3.173,6.436,-0.018,2.615,6.651,0.006,2.626,6.535
MOSS Audio 8B (thinking),model,0.011,2.967,7.896,-0.008,2.851,7.878,0.007,3.903,7.578,0.019,2.719,7.137,-0.023,3.148,7.587
